Id,Id_D,Type_T,Type,Value,New,Extract,Id_D_Explanation,Explanation,Instructions
80001,DDB,INDIVIDUAL,CHILDBIRTH_ASSISTANT,DEFINITION,3,,DDB,Indicates whether the child is delivered by a trained midwife.,
80002,DDB,INDIVIDUAL,CHILDBIRTH_ASSISTANT,Delivery with an unexamined assistant,3,,DDB,The child is delivered with help from an untrained assistant.,
80003,DDB,INDIVIDUAL,CHILDBIRTH_ASSISTANT,Midwife delivery,3,,DDB,The child is delivered with help from a trained midwife.,
80004,DDB,INDIVIDUAL,CHILDBIRTH_ASSISTANT,Midwife delivery with instruments,3,,DDB,The child is delivered with help from a trained midwife and instruments were used. ,
80005,DDB,INDIVIDUAL,CHILDBIRTH_ASSISTANT,Unknown,3,,DDB,The way the child is delivered is unknown.,
10009,STANDARD,INDIVIDUAL,FUNERAL_DATE,DEFINITION,3,,STANDARD,Date of funeral,the value and further definition will be handled by the time stamp
10130,STANDARD,INDIVIDUAL,LEGITIMACY,DEFINITION,3,,STANDARD,Legitimacy,
10131,STANDARD,INDIVIDUAL,LEGITIMACY,Child of betrothal,3,,STANDARD,"Born outside of marriage, within betrothal",
10132,STANDARD,INDIVIDUAL,LEGITIMACY,Illegitimate,3,,STANDARD,Born outside of marriage,
10133,STANDARD,INDIVIDUAL,LEGITIMACY,Legitimate,3,,STANDARD,Born within marriage,
10134,STANDARD,INDIVIDUAL,LEGITIMACY,Recognized,3,,STANDARD,Recognized by father at birth,
10135,STANDARD,INDIVIDUAL,LEGITIMACY,Legitimation,3,,STANDARD,Legitimized by marriage of father and mother,
10136,STANDARD,INDIVIDUAL,LEGITIMACY,Unknown,3,,STANDARD,No note on legitimacy. ,Children with unknown legitimacy are usually born within marriage.
10125,STANDARD,INDIVIDUAL,MULTIPLE_BIRTH,DEFINITION,3.01 change,,STANDARD,Multiple birth,
10127,DDB,INDIVIDUAL,MULTIPLE_BIRTH,Missing information,3.01 change,,DDB,,
10126,STANDARD,INDIVIDUAL,MULTIPLE_BIRTH,N,3.01 change,,STANDARD,"N= number of births. For example 2=twins, 1=singleton, 3=triplets, etc.",
10128,DDB,INDIVIDUAL,MULTIPLE_BIRTH,Unknown,3.01 change,,DDB,Unknown information signify no multiple birth,
80011,DDB,INDIVIDUAL,VACCINATION,DEFINITION,3,,DDB,Vaccination (smallpox).,
80012,DDB,INDIVIDUAL,VACCINATION,Infected by smallpox,3,,DDB,These markers state that the persons have been infected from an ordinary smallpox infection. The given immunity made later attempts to vaccinate (or inoculate) them impossible.,
80013,DDB,INDIVIDUAL,VACCINATION,Infected and Vaccinated,3,,DDB,The code includes markers that in a contradictory way state that the person has had both a natural smallpox and has been vaccinated. This is normally not possible. For persons born during the eighteenth century the marker ought to indicate natural smallpo,
80014,DDB,INDIVIDUAL,VACCINATION,Missing information,3,,DDB,,
80015,DDB,INDIVIDUAL,VACCINATION,Not vaccinated,3,,DDB,"The markers show that the person is not immune against smallpox, i. e. either previously vaccinated or infected from the disease.",
80016,DDB,INDIVIDUAL,VACCINATION,Vaccinated,3,,DDB,"This code includes markers that undoubtedly tell that the person is vaccinated, but also markers that indicate inoculation (variolisation). Persons born after 1801 have most probably been given a vaccination note, while those born earlier might have been ",
80017,DDB,INDIVIDUAL,VACCINATION,Vaccinated and revaccinated,3,,DDB,"The markers state that the person has been vaccinated more than one time, i. e. is revaccinated. The code indicates the strongest level of immunity.",
10010,STANDARD,INDIVIDUAL,FUNERAL_LOCATION,DEFINITION,3,,STANDARD,Location of the funeral. ,It is preferable to use a reference key to the context table and to enter the lowest level of the context
20182,STANDARD,INDIV_INDIV,RELATION,Stillbirth,4,,STANDARD,,
10161,STANDARD,INDIVIDUAL,START_OBSERVATION,DEFINITION,4,,STANDARD,Reason and date of the start of an observation,
10163,STANDARD,INDIVIDUAL,START_OBSERVATION,Arrival,4,,STANDARD,Observation started because of an arrival in a register (context),
10162,STANDARD,INDIVIDUAL,START_OBSERVATION,Birth,4,,STANDARD,Observation started because of birth,
10164,STANDARD,INDIVIDUAL,START_OBSERVATION,Start source,4,,STANDARD,Observation started because an individual is present from the start in a register," (without being present in other foregoing registers, included in the database)"
10166,STANDARD,INDIVIDUAL,END_OBSERVATION,DEFINITION,4,,STANDARD,Reason and date of the end of an observation,
10167,STANDARD,INDIVIDUAL,END_OBSERVATION,Death,4,,STANDARD,Observation ended because of death,
10168,STANDARD,INDIVIDUAL,END_OBSERVATION,Departure,4,,STANDARD,Observation ended because of a departure out of a register (context),
10169,STANDARD,INDIVIDUAL,END_OBSERVATION,End source,4,,STANDARD,Observation ended because an individual is present at the closing of a register ,"(without being present in other succeeding registers, included in teh database)"
20184,STANDARD,INDIV_INDIV,RELATION,Cousin-in-law,4.1,,STANDARD,,
20185,STANDARD,INDIV_INDIV,RELATION,Foster child,4.1,,STANDARD,,
20186,STANDARD,INDIV_INDIV,RELATION,Foster father,4.1,,STANDARD,,
20187,STANDARD,INDIV_INDIV,RELATION,Foster mother,4.1,,STANDARD,,
30256,STANDARD,INDIV_CONTEXT,RELATION,Governess,4.1,,STANDARD,,
20188,STANDARD,INDIV_INDIV,RELATION,Grandchild,4.1,,STANDARD,,
20189,STANDARD,INDIV_INDIV,RELATION,Grandfather,4.1,,STANDARD,,
20192,STANDARD,INDIV_INDIV,RELATION,Grandfather-in-law,4.1,,STANDARD,,
20198,STANDARD,INDIV_INDIV,RELATION,Grandmother,4.1,,STANDARD,,
20197,STANDARD,INDIV_INDIV,RELATION,Grandmother-in-law,4.1,,STANDARD,,
20196,STANDARD,INDIV_INDIV,RELATION,Great grandchild,4.1,,STANDARD,,
30255,STANDARD,INDIV_CONTEXT,RELATION,Lady-in-waiting,4.1,,STANDARD,,
30254,STANDARD,INDIV_CONTEXT,RELATION,Living in,4.1,,STANDARD,,
30253,STANDARD,INDIV_CONTEXT,RELATION,Neighbour,4.1,,STANDARD,,
20195,STANDARD,INDIV_INDIV,RELATION,Nephew-in-law,4.1,,STANDARD,,
20194,STANDARD,INDIV_INDIV,RELATION,Niece-in-law,4.1,,STANDARD,,
30252,STANDARD,INDIV_CONTEXT,RELATION,Overnight guest,4.1,,STANDARD,,
30251,STANDARD,INDIV_CONTEXT,RELATION,Pupil,4.1,,STANDARD,,
20193,STANDARD,INDIV_INDIV,RELATION,Relative,4.1,,STANDARD,,
20191,STANDARD,INDIV_INDIV,RELATION,Spouse,4.1,,STANDARD,,
20190,STANDARD,INDIV_INDIV,RELATION,Stepchild-in-law,4.1,,STANDARD,,
30258,STANDARD,INDIV_INDIV,RELATION,Unknown,4.1,,STANDARD,,
20199,STANDARD,INDIV_INDIV,RELATION,Governess,4.1,,STANDARD,,
20200,STANDARD,INDIV_INDIV,RELATION,Lady-in-waiting,4.1,,STANDARD,,
30257,STANDARD,INDIV_CONTEXT,RELATION,Relative,4.1,,STANDARD,The relation 'relative' or 'non-relative' is directed to the householder  (in relationship with the CONTEXT),
11060,STANDARD,INDIVIDUAL,CIVIL_STATUS,Engaged,4.2,,STANDARD,,
10165,STANDARD,INDIVIDUAL,START_OBSERVATION,Unknown,4.2,,STANDARD,Person arrived in the register but reason is not specified and could not be deducted from other data,
10170,STANDARD,INDIVIDUAL,END_OBSERVATION,Unknown,4.2,,STANDARD,Person departed from the register but reason is not specified and could not be deducted from other data,
12020,STANDARD,INDIVIDUAL,OCCUPATION_B,DEFINITION,4.2,,STANDARD,Second part of original occupational title with two titles (having exactly the same timestamp as the first title),
12021,STANDARD,INDIVIDUAL,OCCUPATION_B_STANDARD,DEFINITION,4.2,,STANDARD,Second part of standardized ccupational title with two titles (having exactly the same timestamp as the first title),
12022,STANDARD,INDIVIDUAL,OCCUPATION_B_ENG,DEFINITION,4.2,,STANDARD,Second part of English version of standardized ccupational title with two titles (having exactly the same timestamp as the first title),
12023,STANDARD,INDIVIDUAL,OCCUPATION_B_HISCO,DEFINITION,4.2,,STANDARD,HISCO_code of second part of standardized occupational title with two titles (having exactly the same timestamp as the first title),
12024,STANDARD,INDIVIDUAL,OCCUPATION_B_HISCO_STATUS,DEFINITION,4.2,,STANDARD,"HISCO_code for status present in second part (standardized) occupational title like master, owner, journeyman, student, baron.",
12025,STANDARD,INDIVIDUAL,OCCUPATION_B_HISCO_RELATION,DEFINITION,4.2,,STANDARD,"HISCO_code for relationship with others' occupations or former occupations present in second part of (standardized) occupational title like daughter (of farmer), retired (merchant).",
12026,STANDARD,INDIVIDUAL,OCCUPATION_B_HISCO_PRODUCT,DEFINITION,4.2,,STANDARD,"HISCO_code for traded products present in second part of (standardized) occupational title like ores and minerals, textiles.",
12030,STANDARD,INDIVIDUAL,OCCUPATION_C,DEFINITION,4.2,,STANDARD,Third part of original ccupational title with three titles (having exactly the same timestamp as the first title),
12031,STANDARD,INDIVIDUAL,OCCUPATION_C_STANDARD,DEFINITION,4.2,,STANDARD,Third part of standardized ccupational title with three titles (having exactly the same timestamp as the first title),
12032,STANDARD,INDIVIDUAL,OCCUPATION_C_ENG,DEFINITION,4.2,,STANDARD,Third part of English version of standardized ccupational title with three titles (having exactly the same timestamp as the first title),
12033,STANDARD,INDIVIDUAL,OCCUPATION_C_HISCO,DEFINITION,4.2,,STANDARD,HISCO_code of third part of standardized occupational title with three titles (having exactly the same timestamp as the first title),
12034,STANDARD,INDIVIDUAL,OCCUPATION_C_HISCO_STATUS,DEFINITION,4.2,,STANDARD,"HISCO_code for status present in third part (standardized) occupational title like master, owner, journeyman, student, baron.",
12035,STANDARD,INDIVIDUAL,OCCUPATION_C_HISCO_RELATION,DEFINITION,4.2,,STANDARD,"HISCO_code for relationship with others' occupations or former occupations present in third part of (standardized) occupational title like daughter (of farmer), retired (merchant).",
12036,STANDARD,INDIVIDUAL,OCCUPATION_C_HISCO_PRODUCT,DEFINITION,4.2,,STANDARD,"HISCO_code for traded products present in third part of (standardized) occupational title like ores and minerals, textiles.",
