Id,Id_D,Type_T,Type,Value,New,Id_D_Explanation,Explanation
,GUTMANN,CONTEXT_CONTEXT,RELATION,DEFINITION,,GUTMANN,"Relationship between two contexts, imputed by project team"
,GUTMANN,INDIV_INDIV,RELATION,DEFINITION,,GUTMANN,"Relationship between ID_I1 and ID_I2, derived from relationship to head (1880-1910) or imputed by project team (1850-1870)"
,GUTMANN,CONTEXT_CONTEXT,RELATION,Dwelling in City,,GUTMANN,
,GUTMANN,CONTEXT_CONTEXT,RELATION,Dwelling in Enumerator District,,GUTMANN,
,GUTMANN,CONTEXT_CONTEXT,RELATION,Dwelling in Post Office,,GUTMANN,
,GUTMANN,CONTEXT_CONTEXT,RELATION,Dwelling in Subunit,,GUTMANN,
,GUTMANN,CONTEXT_CONTEXT,RELATION,Enumerator District in Census Supervisor District,,GUTMANN,
,GUTMANN,INDIV_CONTEXT,RELATION,Father in baptism,,,
,GUTMANN,INDIV_CONTEXT,RELATION,Father in funeral,,,
,GUTMANN,INDIV_CONTEXT,RELATION,Foundling,,GUTMANN,
,GUTMANN,INDIV_INDIV,RELATION,Grandchild,,GUTMANN,ID_I1 is the grandchild of ID_I2
,GUTMANN,INDIV_INDIV,RELATION,Grandfather,,GUTMANN,ID_I1 is the grandfather of ID_I2
,GUTMANN,INDIV_INDIV,RELATION,Grandmother,,GUTMANN,ID_I1 is the grandmother of ID_I2
,CAMPOP,INDIV_CONTEXT,RELATION,Husband,,CAMPOP,
,GUTMANN,INDIV_CONTEXT,RELATION,Husband in funeral,,,
,GUTMANN,INDIV_CONTEXT,RELATION,Husband in marriage,,,
,GUTMANN,INDIV_CONTEXT,RELATION,In jail,,GUTMANN,
,GUTMANN,INDIV_CONTEXT,RELATION,Lodger or boarder,,GUTMANN,
,GUTMANN,INDIV_CONTEXT,RELATION,Mother in baptism,,,
,GUTMANN,INDIV_CONTEXT,RELATION,Mother in funeral,,,
,CAMPOP,CONTEXT_CONTEXT,RELATION,Parish in county,,CAMPOP,
,GUTMANN,INDIV_CONTEXT,RELATION,Professional helper,,GUTMANN,
,SWEDLUND,CONTEXT_CONTEXT,RELATION,Region and Locality,,,Region and Locality vary in detail in this dataset
,GUTMANN,CONTEXT_CONTEXT,RELATION,Register in Church,,,
,GUTMANN,CONTEXT_CONTEXT,RELATION,Register in Government Agency,,,
,GUTMANN,INDIV_INDIV,RELATION,Sister-in-law,,GUTMANN,ID_I1 is the sister-in-law of ID_I2
,GUTMANN,INDIV_CONTEXT,RELATION,Soldier,,GUTMANN,
,GUTMANN,INDIV_INDIV,RELATION,Son-in-law,,GUTMANN,ID_I1 is the son-in-law of ID_I2
,CAMPOP,INDIV_CONTEXT,RELATION,Union in Parish,,CAMPOP,
,KNODEL,CONTEXT_CONTEXT,RELATION,Union in village,,KNODEL,Marital union residing in a village
,KNODEL,CONTEXT_CONTEXT,RELATION,Village in village group,,KNODEL,Village in a regional cluster of villages
,CAMPOP,INDIV_CONTEXT,RELATION,Wife,,CAMPOP,
,GUTMANN,INDIV_CONTEXT,RELATION,Wife in funeral,,,
,GUTMANN,INDIV_CONTEXT,RELATION,Wife in marriage,,,
,GUTMANN,CONTEXT,RELIGION,Catholic,,,
,GUTMANN,CONTEXT,RELIGION,DEFINITION,,,"Religion identified with a context, such as a church or baptismal register"
,GUTMANN,CONTEXT,RELIGION,Lutheran,,,
,GUTMANN,CONTEXT,RELIGION,Methodist,,,
,GUTMANN,CONTEXT,RELIGION,Non-denominational,,,
,GUTMANN,CONTEXT,RELIGION,Secular,,,
,CAMPOP,INDIVIDUAL,RESIDENCE_LOCATION,DEFINITION,,CAMPOP,Place of residence
,ICPSR,INDIVIDUAL,RESIDENCE_LOCATION,DEFINITION,,ICPSR Historical Demography Series,Place of residence of bride or groom
,ICPSR,INDIVIDUAL,RESIDENCE_OTHER,DEFINITION,,ICPSR Historical Demography Series,Earlier or later residence of this individual
,CAMPOP,CONTEXT,SAMPLE_GROUP_1,DEFINITION,,CAMPOP,Period this parish included in CamPop group 1 sample
,CAMPOP,CONTEXT,SAMPLE_GROUP_2,DEFINITION,,CAMPOP,Period this parish included in CamPop group 2 sample
,CAMPOP,CONTEXT,SAMPLE_GROUP_3,DEFINITION,,CAMPOP,Period this parish included in CamPop group 3 sample
,CAMPOP,CONTEXT,SAMPLE_GROUP_4,DEFINITION,,CAMPOP,Period this parish included in CamPop group 4 sample
,CAMPOP,CONTEXT,SAMPLE_GROUP_1,yes,,,
,CAMPOP,CONTEXT,SAMPLE_GROUP_2,yes,,,
,CAMPOP,CONTEXT,SAMPLE_GROUP_3,yes,,,
,CAMPOP,CONTEXT,SAMPLE_GROUP_4,yes,,,
,GUTMANN,INDIVIDUAL,SCHOOL_ATTENDANCE_MONTHS,DEFINITION,,GUTMANN,Months attended school during the census year
,GUTMANN,INDIVIDUAL,SCHOOL_ATTENDANCE_MONTHS,ANYVALUE,,,
,GUTMANN,INDIVIDUAL,SICKNESS,ANYVALUE,,,
,GUTMANN,INDIVIDUAL,SICKNESS,DEFINITION,,GUTMANN,Ailment listed in census for an individual
,GUTMANN,INDIVIDUAL,SLAVE_VALUE,ANYNUMBER,,,
,GUTMANN,INDIVIDUAL,SLAVE_VALUE,DEFINITION,,GUTMANN,Value of slaves
,GUTMANN,INDIVIDUAL,SPEAKS_ENGLISH,DEFINITION,,GUTMANN,Whether able to speak English (yes/no)
,GUTMANN,INDIVIDUAL,SPEAKS_ENGLISH,No,,GUTMANN,Unable to speak English
,GUTMANN,INDIVIDUAL,SPEAKS_ENGLISH,Yes,,GUTMANN,Able to speak English
,GUTMANN,INDIVIDUAL,STOCK_VALUE,DEFINITION,,,Value of livestock
,GUTMANN,INDIVIDUAL,STOCK_VALUE,ANYNUMBER,,,
,GUTMANN,CONTEXT,STREET,ANYVALUE,,,
,CAMPOP,INDIVIDUAL,SUFFIX_NAME,DEFINITION,,CAMPOP,"Additional name identifier, like ""junior"" or ""senior"""
,AHD,INDIVIDUAL,SUFFIX_NAME,DEFINITION,,ICPSR Historical Demography Series,"Additional name identifier, like ""junior"" or ""senior"""
,GUTMANN,INDIVIDUAL,SURNAME_LANGUAGE,DEFINITION,,,Imputed language of Subject's surname
,GUTMANN,INDIVIDUAL,SURNAME_LANGUAGE,ANYVALUE,,,
,GUTMANN,INDIVIDUAL,SURVIVING_CHILDREN,ANYNUMBER,,,
,GUTMANN,INDIVIDUAL,SURVIVING_CHILDREN,DEFINITION,,GUTMANN,Number of children born to person still alive at time of enumeration (integer; 1900-1910 only)
,GUTMANN,INDIVIDUAL,TAX_OTHER,ANYNUMBER,,,
,GUTMANN,INDIVIDUAL,TAX_OTHER,DEFINITION,,GUTMANN,Other taxable wealth
,GUTMANN,INDIVIDUAL,TOTAL_WEALTH,ANYNUMBER,,,
,GUTMANN,INDIVIDUAL,TOTAL_WEALTH,DEFINITION,,GUTMANN,Total wealth from tax assessments
,GUTMANN,INDIVIDUAL,UNEMPLOYED,DEFINITION,,GUTMANN,Whether able to speak English (yes/no)
,GUTMANN,INDIVIDUAL,UNEMPLOYED,No,,GUTMANN,"Not out of work on April 15, 1910"
,GUTMANN,INDIVIDUAL,UNEMPLOYED,Yes,,GUTMANN,"Out of work on April 15, 1910"
,GUTMANN,INDIVIDUAL,UNEMPLOYED_MONTHS ,DEFINITION,,GUTMANN,Months unemployed during the census year
,GUTMANN,INDIVIDUAL,UNEMPLOYED_WEEKS,DEFINITION,,GUTMANN,Number of weeks out of work during the year 1909 (integer)
,GUTMANN,INDIVIDUAL,UNEMPLOYED_MONTHS ,ANYNUMBER,,,
,GUTMANN,INDIVIDUAL,UNEMPLOYED_WEEKS,ANYNUMBER,,,
,CAMPOP,CONTEXT,UNION,DEFINITION,,CAMPOP,Marital or other type of union
,ICPSR,CONTEXT,UNION,DEFINITION,,,Marriage or other cohabitation
,CAMPOP,CONTEXT,UNION,Marriage,,CAMPOP,
,ICPSR,CONTEXT,UNION,Marriage,,,Marital union
,GUTMANN,INDIVIDUAL,US_CITIZEN_MALE_21,DEFINITION,,GUTMANN,Whether a male citizen aged 21+ (yes only)
,GUTMANN,INDIVIDUAL,US_CITIZEN_MALE_21,Yes,,GUTMANN,Male citizen aged 21+
,GUTMANN,INDIVIDUAL,US_CITIZENSHIP,Alien,,GUTMANN,Individual has not begun the naturalization process
,GUTMANN,INDIVIDUAL,US_CITIZENSHIP,DEFINITION,,GUTMANN,Whether an immigrant has naturalized or begun the naturalization process (foreign born only; 1900-1910 only)
,GUTMANN,INDIVIDUAL,US_CITIZENSHIP,Naturalized,,GUTMANN,Individual has naturalized
,GUTMANN,INDIVIDUAL,US_CITIZENSHIP,Papers filed,,GUTMANN,Individual has filed naturalization papers
,GUTMANN,INDIVIDUAL,US_IMMIGRATION_YEAR,DEFINITION,,GUTMANN,Year of immigration to the U.S. (foreign-born only)
,GUTMANN,INDIVIDUAL,US_YEARS_RESIDENT,DEFINITION,,GUTMANN,Number of years individual has lived in the U.S. (foreign-born only)
,GUTMANN,INDIVIDUAL,US_IMMIGRATION_YEAR,ANYNUMBER,,,
,GUTMANN,INDIVIDUAL,US_YEARS_RESIDENT,ANYNUMBER,,,
,GUTMANN,CONTEXT,WARD,DEFINITION,,GUTMANN,Ward of city
,GUTMANN,INDIVIDUAL,WORK_STATUS,DEFINITION,,,"Whether employer, employee, or self-employed "
,GUTMANN,INDIVIDUAL,WORK_STATUS,employee (worker),,,
,GUTMANN,INDIVIDUAL,WORK_STATUS,employer,,,
,GUTMANN,INDIVIDUAL,WORK_STATUS,own account,,,
,GUTMANN,INDIV_CONTEXT,RELATION,Child in birth,,,
,GUTMANN,INDIV_CONTEXT,RELATION,Father in birth,,,
,GUTMANN,INDIV_CONTEXT,RELATION,Mother in birth,,,
,GUTMANN,INDIV_CONTEXT,RELATION,Resident,,,
,GUTMANN,INDIV_CONTEXT,RELATION,Head of household,,,
,GUTMANN,INDIV_CONTEXT,RELATION,Child (from previous marriage) of male head,,,
,GUTMANN,INDIV_CONTEXT,RELATION,Brother or sister of male head,,,
,GUTMANN,INDIV_CONTEXT,RELATION,Child (from previous marriage) of female head or wife,,,
,GUTMANN,INDIV_CONTEXT,RELATION,Grandchild of male head,,,
,GUTMANN,INDIV_CONTEXT,RELATION,Parent of male head,,,
,GUTMANN,INDIV_CONTEXT,RELATION,Niece or Nephew of male head,,,
,GUTMANN,INDIV_CONTEXT,RELATION,Parent of female head or wife,,,
,GUTMANN,INDIV_CONTEXT,RELATION,Brother or sister of female head or wife,,,
,GUTMANN,INDIV_CONTEXT,RELATION,Son/Daughter-in-law of male head,,,
,GUTMANN,INDIV_CONTEXT,RELATION,Mother/Father-in-law of male head,,,
,GUTMANN,INDIV_CONTEXT,RELATION,Brother/Sister-inlaw of male head,,,
,GUTMANN,INDIV_CONTEXT,RELATION,Niece or nephew of female head or wife,,,
,GUTMANN,INDIV_CONTEXT,RELATION,Grandchild of female head or wife,,,
,GUTMANN,INDIV_CONTEXT,RELATION,Adopted child of male head,,,
,GUTMANN,INDIV_CONTEXT,RELATION,Uncle or aunt of male head,,,
,GUTMANN,INDIV_CONTEXT,RELATION,Cousin of male head,,,
,GUTMANN,INDIV_CONTEXT,RELATION,Grandparent of male head,,,
,GUTMANN,INDIV_CONTEXT,RELATION,Son/Daughter-in-law of female head or wife,,,
,GUTMANN,INDIV_CONTEXT,RELATION,Religious affiliation,,,
,GUTMANN,INDIV_CONTEXT,RELATION,Brother/Sister-in-law of female head or wife,,,
,GUTMANN,INDIV_CONTEXT,RELATION,Mother/Father-in-law of female head or wife,,,
,GUTMANN,INDIV_CONTEXT,RELATION,Child (legitimate) of female head or wife,,,
,GUTMANN,INDIV_CONTEXT,RELATION,Uncle or aunt of female head or wife,,,
,GUTMANN,INDIV_CONTEXT,RELATION,Grandparent of female head or wife,,,
,GUTMANN,INDIV_CONTEXT,RELATION,Step-child (from previous marriage) of female head or wife,,,
